id,x,y
CrazyTaxi3HighRoller,122.50163963898831,499.51599999999996
JillianMichaelsFitnessAdventure,147.0016396389883,499.51599999999996
DarkMessiahofMightandMagicElements,171.5016396389883,499.51599999999996
DarkStarOneBrokenAlliance,196.0016396389883,499.51599999999996
BodyandBrainConnection,220.5016396389883,499.51599999999996
IHRADragRacing2004,245.0016396389883,499.51599999999996
RidgeRacer6,269.5016396389883,499.51599999999996
RecordofAgarestWar,294.0016396389883,499.51599999999996
TetrisWorldsOnlineEdition,318.5016396389883,499.51599999999996
SoldierofFortunePayback,343.0016396389883,499.51599999999996
UFCTapout,367.5016396389883,499.51599999999996
DanceMasters,392.0016396389883,499.51599999999996
ConflictDeniedOps,416.5016396389883,499.51599999999996
FighterWithin,441.0016396389883,499.51599999999996
Sudeki,465.5016396389883,499.51599999999996
SpongeBobsSurfSkateRoadtrip,490.0016396389883,499.51599999999996
FaceBreaker,514.5016396389883,499.51599999999996
Risen,539.0016396389883,499.51599999999996
SegaGT2002,563.5016396389883,499.51599999999996
DanceCentralSpotlight,588.0016396389883,499.51599999999996
NBABallersChosenOne,612.5016396389883,499.51599999999996
StarWarsTheCloneWarsTetrisWorlds,637.0016396389883,499.51599999999996
CloseCombatFirsttoFight,661.5016396389883,499.51599999999996
IndianaJonesandtheEmperorsTomb,686.0016396389883,499.51599999999996
ShapeUp,710.5016396389883,499.51599999999996
StarTrekLegacy,735.0016396389883,499.51599999999996
AirForceDeltaStorm,759.5016396389883,499.51599999999996
Syndicate,784.0016396389883,499.51599999999996
ZumbaFitnessRush,808.5016396389883,499.51599999999996
CallofJuarez,833.0016396389883,499.51599999999996
Backbreaker,857.5016396389883,499.51599999999996
TestDriveOffRoadWideOpen,882.0016396389883,499.51599999999996
WorldofOutlawsSprintCars,906.5016396389883,499.51599999999996
LipsPartyClassics,931.0016396389883,499.51599999999996
Splatterhouse,955.5016396389883,499.51599999999996
OtomediusExcellent,980.0016396389883,499.51599999999996
CabelasBigGameHunterHuntingParty,1004.5016396389883,499.51599999999996
VelvetAssassin,49.0016396389883,524.016
ProjectSpark,73.50163963898831,524.016
RacePro,98.00163963898831,524.016
NBAInsideDrive2004,122.50163963898831,524.016
ExhibitionVolume02,147.0016396389883,524.016
NHL2K9,171.5016396389883,524.016
TopSpin2,196.0016396389883,524.016
HunterTheReckoningRedeemer,220.5016396389883,524.016
ThiefDeadlyShadows,245.0016396389883,524.016
CountryDanceAllStars,269.5016396389883,524.016
N3IINinetyNineNights,294.0016396389883,524.016
FairytaleFights,318.5016396389883,524.016
Gunvalkyrie,343.0016396389883,524.016
FuzionFrenzy2,367.5016396389883,524.016
NASCAR14,392.0016396389883,524.016
NavalAssaultTheKillingTide,416.5016396389883,524.016
NASCAR15,441.0016396389883,524.016
BloodBowl,465.5016396389883,524.016
LeisureSuitLarryBoxOfficeBust,490.0016396389883,524.016
MagicTheGatheringBattlegrounds,514.5016396389883,524.016
GreaseDance,539.0016396389883,524.016
